category, FBFM1, FBFM2, FBFM3, FBFM4, FBFM5, FBFM6, FBFM7, FBFM8, FBFM9, FBFM10, FBFM11, FBFM12, FBFM13, FBFM14, Description
fgi, 0.166, 0.896, 0.674, 3.591, 0.74, 1.344, 1.091, 1.120, 0.780, 2.692, 2.582, 7.749, 13.024, 0.00, Wind reduction factor
windrf, 0.36, 0.36, 0.44,  0.55,  0.42,  0.44,  0.44, 0.36, 0.36, 0.36,  0.36,  0.43,  0.46, 1e-7, Initial mass loading of surface fuel
fueldepthm, 0.3050, 0.3050, 0.7620, 1.8290, 0.6100, 0.7620, 0.7620, 0.0610, 0.0610, 0.3050, 0.3050, 0.7010, 0.9140, 0.3050, Fuel depth
savr, 3500., 2784., 1500., 1739., 1683., 1564., 1562., 1889., 2484., 1764., 1182., 1145., 1159., 3500, Fuel surface-area-to-volume-ratio
fuelmce, 0.12, 0.15, 0.25, 0.20, 0.20, 0.25, 0.40, 0.30, 0.25, 0.25, 0.15, 0.20, 0.25, 0.12, Fuel moisture content of extinction
fueldens, 32.,32.,32.,32.,32.,32.,32. , 32.,32.,32.,32.,32.,32.,32., Fuel particle density lb ft-3
st, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, 0.0555, Fuel particle total mineral content
se, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, Fuel particle effective mineral content
weight 7.,  7.,  7., 180., 100., 100., 100., 900., 900., 900., 900., 900., 900., 7., 0, Weight parameter determines the slope of the mass loss curve
ffw,  0.1, 0.9, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, Fraction of fuel that is woody vs herbaceous. Controls how much of the fuel participates in spread calculation
adjrw, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, Adjustment multiplier on the wind-driven rate of spread component
adjrs, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, Adjustment multiplier on the slope-driven rate of spread component
fmc_gw01, 1.00000, 0.15385, 1.00000, 0.31253, 0.28571, 0.25000, 0.23203, 0.30000, 0.06625, 0.25042, 0.13021, 0.11600, 0.12065, 0.00000, Proportion of the fuel that is in moisture class 1 (between 0.0 and 1.0) The proportions in each column should add up to 1.
fmc_gw02, 0.00000, 0.07692, 0.00000, 0.25016, 0.14286, 0.41667, 0.38398, 0.20000, 0.93034, 0.16639, 0.39149, 0.40584, 0.39656, 0.00000, Proportion of the fuel that is in moisture class 2 (between 0.0 and 1.0)
fmc_gw03, 0.00000, 0.38462, 0.00000, 0.12477, 0.00000, 0.33333, 0.30801, 0.50000, 0.00341, 0.41680, 0.47830, 0.47816, 0.48279, 0.00000, Proportion of the fuel that is in moisture class 3 (between 0.0 and 1.0)
fmc_gw04, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, Proportion of the fuel that is in moisture class 4 (between 0.0 and 1.0)
fmc_gw05, 0.00000, 0.38462, 0.00000, 0.31254, 0.57143, 0.00000, 0.07598, 0.00000, 0.00000, 0.16639, 0.00000, 0.00000, 0.00000, 0.00000, Proportion of the fuel that is in moisture class 5 (between 0.0 and 1.0)
